0,be58cf76d97b-1440317_H3K27ac_H2_D3.all,83c5ee70b54c-Hudep2_ATAC,ff172dc44bae-1686607_H2_ABEmax_RNAseq.all,a5827a3aed28-Hudep2_D3_merged_CTCF.all,0e736a158439-Hudep2_BCL11A,f4de4caca3a7-1440315_H3K27me3_H2_D3.all,9c840e19bbed-Hudep2_D0_GATA1.all,f0663efdfef9-HUDEP2_LRF_CHIP,50d97c7d24d1-1788283_H2_ABEmax.all,7f7f32ae893c-Hudep2_D3_merged_GATA1.all,239c569c6374-Hudep2_D3_merged_KLF1.all,6af40841b8aa-1440311_H3K9me3_H2_D3.all,b9695d26860d-Hudep2_D3_merged_LDB1.all,188da58c07d8-1440307_H3K4me1_H2_D3.all,5f7c070fdda9-Hudep2_D3_merged_TAL1.all,35630c3a763e-1440313_H3K9ac_H2_D3.all,5ce8a22e939d-1440319_H3K36me3_H2_D3.all,0bf9f8a97328-1440309_H3K4me3_H2_D3.all
chr11:5712175-5712176,3.25,47.5,0.75,1.75,1.0,1.5,11.5,21.25,0.0,7.75,11.0,1.0,6.5,2.75,5.5,1.75,0.75,5.25
chr11:5712590-5712591,2.0,21.5,0.0,3.75,1.75,1.0,4.25,21.25,0.0,5.5,10.25,1.0,5.75,2.25,4.25,5.25,1.25,2.0
chr11:5712655-5712656,2.25,38.0,0.0,3.75,7.25,0.75,8.75,17.25,0.0,11.75,11.75,0.5,6.25,4.0,6.75,6.0,1.0,1.0
chr11:5712689-5712690,2.25,38.0,0.0,3.75,7.25,0.75,8.75,17.25,0.0,11.75,11.75,0.5,6.25,4.0,6.75,6.0,1.0,1.0
chr11:5733815-5733816,0.5,18.75,0.0,29.75,2.0,0.25,3.5,9.0,0.0,1.75,9.75,3.0,3.75,3.0,2.0,1.75,3.0,0.75
chr11:5733838-5733839,0.5,18.75,0.0,29.75,2.0,0.25,3.5,9.0,0.0,1.75,9.75,3.0,3.75,3.0,2.0,1.75,3.0,0.75
chr11:5733885-5733886,0.75,24.5,0.0,38.75,1.0,0.0,4.0,8.25,0.0,1.5,9.0,3.25,3.5,3.0,2.25,2.25,3.5,0.5
chr11:5735059-5735060,3.75,25.25,0.0,1.0,2.5,0.0,2.0,6.5,0.0,1.5,1.5,2.0,5.25,1.25,2.25,1.25,1.25,1.0
chr11:5735060-5735061,3.75,25.25,0.0,1.0,2.5,0.0,2.0,6.5,0.0,1.5,1.5,2.0,5.25,1.25,2.25,1.25,1.25,1.0
chr11:5735066-5735067,3.75,25.25,0.0,1.0,2.5,0.0,2.0,6.5,0.0,1.5,1.5,2.0,5.25,1.25,2.25,1.25,1.25,1.0
chr11:5735069-5735070,3.75,25.25,0.0,1.0,2.5,0.0,2.0,6.5,0.0,1.5,1.5,2.0,5.25,1.25,2.25,1.25,1.25,1.0
chr11:5735072-5735073,3.75,25.25,0.0,1.0,2.5,0.0,2.0,6.5,0.0,1.5,1.5,2.0,5.25,1.25,2.25,1.25,1.25,1.0
chr11:5735107-5735108,3.0,35.5,0.0,1.75,2.5,0.0,1.75,5.0,0.0,1.5,1.0,1.75,5.5,0.75,1.5,1.75,2.0,1.0
chr11:5735108-5735109,3.0,35.5,0.0,1.75,2.5,0.0,1.75,5.0,0.0,1.5,1.0,1.75,5.5,0.75,1.5,1.75,2.0,1.0
chr11:5735110-5735111,3.0,35.5,0.0,1.75,2.5,0.0,1.75,5.0,0.0,1.5,1.0,1.75,5.5,0.75,1.5,1.75,2.0,1.0
chr11:5735117-5735118,3.0,35.5,0.0,1.75,2.5,0.0,1.75,5.0,0.0,1.5,1.0,1.75,5.5,0.75,1.5,1.75,2.0,1.0
chr11:5735127-5735128,3.0,35.5,0.0,1.75,2.5,0.0,1.75,5.0,0.0,1.5,1.0,1.75,5.5,0.75,1.5,1.75,2.0,1.0
chr11:5735168-5735169,2.5,37.5,0.0,3.0,2.25,0.0,1.5,5.0,0.0,2.0,1.25,1.25,6.25,0.25,0.75,2.0,1.75,0.5
chr11:5735189-5735190,2.5,37.5,0.0,3.0,2.25,0.0,1.5,5.0,0.0,2.0,1.25,1.25,6.25,0.25,0.75,2.0,1.75,0.5
chr11:5735194-5735195,2.5,37.5,0.0,3.0,2.25,0.0,1.5,5.0,0.0,2.0,1.25,1.25,6.25,0.25,0.75,2.0,1.75,0.5
chr11:5829874-5829875,2.5,254.5,0.0,106.5,7.25,1.25,5.75,34.5,0.0,5.5,11.0,0.75,7.5,3.5,7.5,10.75,3.25,21.5
chr11:5829885-5829886,2.5,254.5,0.0,106.5,7.25,1.25,5.75,34.5,0.0,5.5,11.0,0.75,7.5,3.5,7.5,10.75,3.25,21.5
chr11:5829887-5829888,2.5,254.5,0.0,106.5,7.25,1.25,5.75,34.5,0.0,5.5,11.0,0.75,7.5,3.5,7.5,10.75,3.25,21.5
chr11:5831808-5831809,3.75,92.5,0.0,4.25,3.75,0.25,11.5,11.5,0.0,19.5,9.25,2.25,16.5,6.25,11.75,1.0,1.5,3.0
chr11:5831815-5831816,3.75,92.5,0.0,4.25,3.75,0.25,11.5,11.5,0.0,19.5,9.25,2.25,16.5,6.25,11.75,1.0,1.5,3.0
chr11:5831826-5831827,3.75,92.5,0.0,4.25,3.75,0.25,11.5,11.5,0.0,19.5,9.25,2.25,16.5,6.25,11.75,1.0,1.5,3.0
chr11:5831827-5831828,3.75,92.5,0.0,4.25,3.75,0.25,11.5,11.5,0.0,19.5,9.25,2.25,16.5,6.25,11.75,1.0,1.5,3.0
chr11:5831829-5831830,3.75,92.5,0.0,4.25,3.75,0.25,11.5,11.5,0.0,19.5,9.25,2.25,16.5,6.25,11.75,1.0,1.5,3.0
chr11:5831864-5831865,4.0,95.5,0.0,5.0,3.75,1.0,10.0,12.75,0.0,20.0,9.25,2.0,17.5,4.75,11.75,1.0,1.25,2.0
chr19:12936453-12936454,3.09091,82.5455,1.09091,51.0,0.840909,2.86364,5.18182,67.8864,0.0,2.70455,17.6364,1.70455,10.7045,7.27273,6.18182,5.02273,4.63636,6.22727
chr19:12936454-12936455,3.04545,85.2727,1.04545,52.25,0.795455,2.93182,5.09091,69.0682,0.0,2.72727,17.8182,1.72727,10.7273,7.386360000000001,6.34091,4.88636,4.56818,6.36364
chr19:12936478-12936479,3.0,88.0,1.0,53.5,0.75,3.0,5.0,70.25,0.0,2.75,18.0,1.75,10.75,7.5,6.5,4.75,4.5,6.5
chr19:12936520-12936521,3.0,116.75,0.5,62.25,1.0,3.0,5.5,74.25,0.0,3.5,19.25,2.75,9.5,9.25,7.75,4.5,3.0,7.5
chr19:12943417-12943418,6.5,441.0,0.0,140.5,20.25,5.25,13.0,80.75,0.5,28.25,69.5,3.25,19.5,13.0,16.75,5.25,4.0,24.0
chr19:12943522-12943523,8.0,607.5,0.0,206.75,28.0,4.25,12.5,74.0,0.25,27.0,73.0,3.5,15.75,11.75,15.25,6.75,3.75,29.0
chr19:12943524-12943525,8.0,607.5,0.0,206.75,28.0,4.25,12.5,74.0,0.25,27.0,73.0,3.5,15.75,11.75,15.25,6.75,3.75,29.0
chr19:12949227-12949228,9.0,535.75,0.0,206.25,3.25,10.5,12.0,113.5,0.0,14.5,57.25,4.25,11.5,8.75,12.75,10.75,3.5,53.5
chr19:12952075-12952076,16.5,223.0,0.0,11.75,5.5,5.0,12.0,44.75,0.0,11.0,24.75,2.75,15.25,8.5,9.5,12.75,6.0,78.25
chr19:12952087-12952088,16.5,223.0,0.0,11.75,5.5,5.0,12.0,44.75,0.0,11.0,24.75,2.75,15.25,8.5,9.5,12.75,6.0,78.25
chr19:12952088-12952089,16.5,223.0,0.0,11.75,5.5,5.0,12.0,44.75,0.0,11.0,24.75,2.75,15.25,8.5,9.5,12.75,6.0,78.25
chr19:12952181-12952182,12.75,154.0,0.0,15.5,2.75,6.5,8.75,46.75,0.0,10.0,20.5,3.0,13.0,8.25,8.0,11.5,2.75,66.0
chr19:12952182-12952183,12.75,154.0,0.0,15.5,2.75,6.5,8.75,46.75,0.0,10.0,20.5,3.0,13.0,8.25,8.0,11.5,2.75,66.0
chr19:12958543-12958544,5.75,435.5,1.75,223.5,18.5,6.0,9.25,75.5,1.5,9.5,37.5,4.75,17.75,10.75,13.75,5.5,3.25,15.75
chr19:12958599-12958600,6.36364,653.364,1.02273,261.432,18.8182,6.0,11.0455,84.0455,0.8863639999999999,8.68182,42.5682,3.88636,17.4773,13.3636,16.25,5.27273,2.77273,14.9091
chr19:12967654-12967655,7.02273,48.3182,0.0,8.772730000000001,8.977269999999999,1.20455,8.11364,13.0227,0.0,46.6136,44.1818,0.772727,24.1136,8.38636,19.6136,5.11364,5.25,4.75
chr19:12967664-12967665,7.25,48.5,0.0,9.0,9.0,1.25,8.0,13.0,0.0,46.5,44.25,0.75,24.25,8.5,19.5,5.25,5.25,4.75
chr19:12979772-12979773,2.75,135.0,0.5,6.5,8.0,2.75,11.75,17.75,0.25,9.25,5.5,3.75,5.0,3.25,1.5,3.25,3.25,4.0
chr19:12979781-12979782,2.75,135.0,0.5,6.5,8.0,2.75,11.75,17.75,0.25,9.25,5.5,3.75,5.0,3.25,1.5,3.25,3.25,4.0
chr19:12979824-12979825,3.5,143.5,0.5,7.75,9.25,3.5,12.5,15.5,0.0,8.0,6.0,3.5,5.5,2.75,2.25,3.5,4.25,2.5
chr19:12983903-12983904,4.95455,219.955,0.0,9.977269999999999,66.4545,1.45455,7.95455,22.8182,0.0454545,7.79545,25.6818,3.15909,10.1136,3.84091,5.38636,4.75,6.25,4.5
chr19:12983943-12983944,5.0,227.5,0.0,9.75,68.5,1.5,8.0,23.0,0.0,7.75,26.0,3.25,10.25,3.75,5.25,4.75,6.25,4.5
chr19:12983947-12983948,5.0,230.56799999999998,0.136364,9.54545,65.5682,1.43182,7.863639999999999,23.2045,0.0,8.022730000000001,25.7273,3.25,10.7273,3.88636,5.52273,4.81818,6.38636,4.43182
chr19:12983954-12983955,5.0,237.727,0.454545,9.06818,58.7273,1.27273,7.54545,23.6818,0.0,8.659089999999999,25.0909,3.25,11.8409,4.20455,6.15909,4.97727,6.70455,4.27273
chr19:12994637-12994638,31.25,298.5,36.25,19.75,18.5,2.0,19.25,43.75,20.5,30.25,77.25,4.0,21.75,15.0,18.25,9.25,18.5,45.5
chr19:12994639-12994640,31.25,298.5,36.25,19.75,18.5,2.0,19.25,43.75,20.5,30.25,77.25,4.0,21.75,15.0,18.25,9.25,18.5,45.5
chr19:12994641-12994642,31.25,298.5,36.25,19.75,18.5,2.0,19.25,43.75,20.5,30.25,77.25,4.0,21.75,15.0,18.25,9.25,18.5,45.5
chr19:12994642-12994643,31.25,298.5,36.25,19.75,18.5,2.0,19.25,43.75,20.5,30.25,77.25,4.0,21.75,15.0,18.25,9.25,18.5,45.5
chr19:12994643-12994644,31.25,298.5,36.25,19.75,18.5,2.0,19.25,43.75,20.5,30.25,77.25,4.0,21.75,15.0,18.25,9.25,18.5,45.5
chr19:12994644-12994645,31.25,298.5,36.25,19.75,18.5,2.0,19.25,43.75,20.5,30.25,77.25,4.0,21.75,15.0,18.25,9.25,18.5,45.5
chr19:12994645-12994646,31.1818,308.909,36.4091,19.9318,18.9773,1.9090900000000002,19.3409,44.0227,20.8636,30.1818,78.0682,3.84091,21.7955,14.9091,18.5909,9.409089999999999,18.6364,46.3182
chr19:12994688-12994689,30.5,413.0,38.0,21.75,23.75,1.0,20.25,46.75,24.5,29.5,86.25,2.25,22.25,14.0,22.0,11.0,20.0,54.5
chr19:12994731-12994732,34.5,447.0,38.75,22.5,27.25,0.75,19.75,54.5,29.25,29.25,90.25,1.5,23.5,11.75,24.5,11.75,21.75,60.0
chr19:12994737-12994738,34.5,447.0,38.75,22.5,27.25,0.75,19.75,54.5,29.25,29.25,90.25,1.5,23.5,11.75,24.5,11.75,21.75,60.0
chr19:12994739-12994740,34.5,447.0,38.75,22.5,27.25,0.75,19.75,54.5,29.25,29.25,90.25,1.5,23.5,11.75,24.5,11.75,21.75,60.0
chr19:12994745-12994746,34.5909,443.38599999999997,38.6591,22.3409,26.9545,0.818182,19.5,54.6591,29.7045,28.9545,89.8864,1.5,23.4545,11.6591,24.5682,11.7955,21.9773,60.0682
chr19:12994748-12994749,34.8636,432.545,38.3864,21.8636,26.0682,1.02273,18.75,55.1364,31.0682,28.0682,88.7955,1.5,23.3182,11.3864,24.7727,11.9318,22.6591,60.2727
chr19:12994749-12994750,34.9545,428.93199999999996,38.2955,21.7045,25.7727,1.09091,18.5,55.2955,31.5227,27.7727,88.4318,1.5,23.2727,11.2955,24.8409,11.9773,22.8864,60.3409
chr19:12994750-12994751,35.0455,425.31800000000004,38.2045,21.5455,25.4773,1.15909,18.25,55.4545,31.9773,27.4773,88.0682,1.5,23.2273,11.2045,24.9091,12.0227,23.1136,60.4091
chr19:12995912-12995913,59.0,1542.5,2127.25,32.25,178.0,6.5,13.25,86.25,1781.5,22.5,82.25,2.75,23.25,8.5,34.25,24.5,54.25,151.25
chr19:12995916-12995917,59.0,1542.5,2127.25,32.25,178.0,6.5,13.25,86.25,1781.5,22.5,82.25,2.75,23.25,8.5,34.25,24.5,54.25,151.25
chr19:12995970-12995971,59.0,1730.75,1001.75,37.0,187.5,5.75,13.0,92.25,881.5,29.0,88.5,2.5,26.0,7.75,34.75,25.75,56.5,153.5
chr19:12996079-12996080,58.0,1668.75,790.5,57.0,142.75,3.75,17.0,106.5,798.75,29.25,98.0,3.25,32.0,7.25,35.25,26.25,61.25,158.5
chr19:12996126-12996127,61.0,1415.5,1657.25,69.75,95.75,2.0,19.25,111.25,1612.25,26.75,96.75,3.0,31.25,8.5,31.75,27.0,68.25,164.5
chr19:12996172-12996173,62.0,1115.75,2368.0,77.0,67.25,1.25,20.0,109.5,2350.25,24.5,91.0,3.0,29.25,7.25,31.0,24.75,70.25,162.0
chr19:12996411-12996412,91.25,493.5,1931.75,134.25,13.5,2.25,22.0,123.5,2201.25,23.0,61.5,5.0,19.25,6.0,20.0,28.75,77.5,215.5
chr19:12996436-12996437,91.25,493.5,1931.75,134.25,13.5,2.25,22.0,123.5,2201.25,23.0,61.5,5.0,19.25,6.0,20.0,28.75,77.5,215.5
chr19:12996447-12996448,93.9773,499.977,1817.89,136.705,13.5682,2.18182,21.7273,125.955,2083.91,23.9545,61.9091,5.54545,19.5909,6.20455,19.5227,30.3864,78.25,221.023
chr19:12996499-12996500,101.818,495.659,1310.84,137.455,12.9545,2.11364,20.3182,131.25,1577.25,26.8409,63.4545,7.340910000000001,21.6364,6.40909,18.25,35.3182,80.9318,234.955
chr19:12996692-12996693,107.0,193.0,656.0,60.5,4.25,2.75,22.0,110.0,866.75,31.0,50.5,7.5,19.0,3.0,26.25,37.25,86.75,188.25
chr19:12996698-12996699,109.273,193.364,776.6360000000001,56.9545,4.06818,2.56818,22.8182,112.90899999999999,911.3860000000001,34.9091,49.5909,7.136360000000001,18.3636,2.90909,28.4318,38.7045,87.2045,189.15900000000002
chr19:12996766-12996767,116.0,203.75,1812.25,41.25,3.75,2.0,27.0,130.5,1545.25,52.75,49.0,5.5,19.5,2.25,40.25,45.0,86.0,196.5
chr19:12996768-12996769,116.0,203.75,1812.25,41.25,3.75,2.0,27.0,130.5,1545.25,52.75,49.0,5.5,19.5,2.25,40.25,45.0,86.0,196.5
chr19:12996819-12996820,116.25,216.0,2898.5,33.25,3.0,2.25,30.75,138.5,2416.5,62.25,51.75,3.75,25.5,2.0,45.5,45.0,79.25,194.0
chr19:12997144-12997145,85.25,711.25,154.75,19.0,31.75,3.0,132.25,249.25,139.5,298.0,105.75,4.0,86.25,3.5,142.75,34.75,55.75,165.5
chr19:12997258-12997259,87.5,651.75,127.5,19.25,30.75,2.0,138.25,222.75,121.0,302.0,92.5,4.0,91.25,5.75,150.25,34.25,40.75,173.25
chr19:12997523-12997524,71.0,204.5,157.0,15.75,6.75,1.5,27.5,106.75,189.5,72.5,43.5,4.0,26.75,3.75,39.25,22.25,31.0,136.5
chr19:12997530-12997531,71.0,204.5,157.0,15.75,6.75,1.5,27.5,106.75,189.5,72.5,43.5,4.0,26.75,3.75,39.25,22.25,31.0,136.5
chr19:12997540-12997541,71.0,204.5,157.0,15.75,6.75,1.5,27.5,106.75,189.5,72.5,43.5,4.0,26.75,3.75,39.25,22.25,31.0,136.5
chr19:12997560-12997561,75.0,209.0,154.5,14.75,6.5,2.25,26.75,113.0,183.75,61.0,39.25,5.25,24.25,3.75,32.25,21.75,27.75,136.5
chr19:12997564-12997565,75.0,209.0,154.5,14.75,6.5,2.25,26.75,113.0,183.75,61.0,39.25,5.25,24.25,3.75,32.25,21.75,27.75,136.5
chr19:12997566-12997567,75.0,209.0,154.5,14.75,6.5,2.25,26.75,113.0,183.75,61.0,39.25,5.25,24.25,3.75,32.25,21.75,27.75,136.5
chr19:12997612-12997613,83.5,189.0,144.0,13.75,6.5,2.75,25.75,125.0,162.5,57.5,38.5,6.0,22.75,3.75,28.0,25.0,26.75,142.5
chr19:12997620-12997621,83.5,189.0,144.0,13.75,6.5,2.75,25.75,125.0,162.5,57.5,38.5,6.0,22.75,3.75,28.0,25.0,26.75,142.5
chr19:12997623-12997624,83.5,189.0,144.0,13.75,6.5,2.75,25.75,125.0,162.5,57.5,38.5,6.0,22.75,3.75,28.0,25.0,26.75,142.5
chr19:12997636-12997637,83.5,189.0,144.0,13.75,6.5,2.75,25.75,125.0,162.5,57.5,38.5,6.0,22.75,3.75,28.0,25.0,26.75,142.5
chr19:12997652-12997653,86.7727,177.0,132.909,14.4773,7.22727,2.38636,25.2045,132.81799999999998,142.31799999999998,57.5,38.3182,5.81818,21.6591,3.38636,28.1818,27.0,25.2955,142.136
chr19:12997660-12997661,88.0,172.5,128.75,14.75,7.5,2.25,25.0,135.75,134.75,57.5,38.25,5.75,21.25,3.25,28.25,27.75,24.75,142.0
chr19:12997664-12997665,88.0,172.5,128.75,14.75,7.5,2.25,25.0,135.75,134.75,57.5,38.25,5.75,21.25,3.25,28.25,27.75,24.75,142.0
chr19:12997670-12997671,88.0,172.5,128.75,14.75,7.5,2.25,25.0,135.75,134.75,57.5,38.25,5.75,21.25,3.25,28.25,27.75,24.75,142.0
chr19:12998016-12998017,99.25,1402.5,2299.5,25.5,58.5,4.0,88.75,325.0,2272.75,234.25,84.25,3.5,54.25,6.5,68.75,33.25,18.0,170.75
chr19:12998053-12998054,97.8182,1604.59,1209.27,27.5455,66.8864,4.0,101.023,350.773,1239.59,277.409,91.0,2.68182,61.4091,7.113639999999999,82.25,30.7955,14.1136,160.31799999999998
chr19:12998054-12998055,97.6591,1627.05,1088.14,27.7727,67.8182,4.0,102.38600000000001,353.63599999999997,1124.8,282.205,91.75,2.59091,62.2045,7.18182,83.75,30.5227,13.6818,159.159
chr19:12998060-12998061,97.5,1649.5,967.0,28.0,68.75,4.0,103.75,356.5,1010.0,287.0,92.5,2.5,63.0,7.25,85.25,30.25,13.25,158.0
chr19:12998062-12998063,97.5,1649.5,967.0,28.0,68.75,4.0,103.75,356.5,1010.0,287.0,92.5,2.5,63.0,7.25,85.25,30.25,13.25,158.0
chr19:12998073-12998074,97.5,1649.5,967.0,28.0,68.75,4.0,103.75,356.5,1010.0,287.0,92.5,2.5,63.0,7.25,85.25,30.25,13.25,158.0
chr19:12998477-12998478,90.0,1466.5,3.0,34.0,62.5,4.5,188.5,382.0,5.0,434.25,92.5,6.25,138.0,9.5,239.0,32.75,4.5,118.0
chr19:13001714-13001715,14.25,2274.75,1.0,72.0,795.75,3.0,29.25,65.25,1.25,67.75,291.0,3.0,25.25,11.5,27.0,12.5,2.75,62.75
chr19:13001758-13001759,14.25,2481.25,0.0,65.25,940.75,2.75,31.0,69.75,1.0,70.5,343.0,2.0,23.5,9.25,24.25,11.5,2.25,67.0
chr19:13001775-13001776,14.25,2481.25,0.0,65.25,940.75,2.75,31.0,69.75,1.0,70.5,343.0,2.0,23.5,9.25,24.25,11.5,2.25,67.0
chr19:13001824-13001825,16.0,2642.25,0.0,57.5,896.0,3.0,31.5,74.0,2.0,72.25,371.0,1.25,21.5,7.75,25.0,12.75,3.0,72.75
chr19:13001826-13001827,16.0,2642.25,0.0,57.5,896.0,3.0,31.5,74.0,2.0,72.25,371.0,1.25,21.5,7.75,25.0,12.75,3.0,72.75
chr19:13001840-13001841,16.0,2642.25,0.0,57.5,896.0,3.0,31.5,74.0,2.0,72.25,371.0,1.25,21.5,7.75,25.0,12.75,3.0,72.75
chr19:13030109-13030110,56.75,1052.25,12.25,27.5,73.5,4.0,24.25,72.0,16.25,33.5,234.0,2.25,25.25,9.0,26.5,24.5,5.0,119.5
chr19:13030117-13030118,56.75,1052.25,12.25,27.5,73.5,4.0,24.25,72.0,16.25,33.5,234.0,2.25,25.25,9.0,26.5,24.5,5.0,119.5
chr19:13030243-13030244,51.0,1307.75,6.0,34.25,87.5,3.5,25.0,73.0,4.25,32.5,243.5,2.75,26.5,11.5,25.25,23.25,6.0,95.75
chr19:13040976-13040977,5.0,105.0,437.5,10.75,1.5,0.5,5.5,20.5,323.75,1.0,11.0,2.0,5.5,4.5,2.25,4.75,12.5,4.0
chr19:13041038-13041039,5.75,130.0,1034.25,14.0,2.25,0.5,5.5,21.25,827.0,0.75,9.25,2.5,4.5,4.5,2.25,5.25,12.75,4.0
chr19:13041039-13041040,5.75,130.0,1034.25,14.0,2.25,0.5,5.5,21.25,827.0,0.75,9.25,2.5,4.5,4.5,2.25,5.25,12.75,4.0
chr19:13043969-13043970,26.25,194.5,36.0,8.5,10.5,1.75,8.25,29.5,34.5,17.5,14.5,7.75,11.5,5.0,11.25,8.75,12.5,84.0
chr19:13043980-13043981,26.25,194.5,36.0,8.5,10.5,1.75,8.25,29.5,34.5,17.5,14.5,7.75,11.5,5.0,11.25,8.75,12.5,84.0
chr19:13044081-13044082,31.75,220.25,32.25,9.25,7.5,1.75,10.75,40.25,34.25,10.25,23.5,7.75,10.75,5.5,11.25,9.0,8.0,100.75
chr19:13044099-13044100,32.7727,215.477,31.4545,9.25,7.840910000000001,1.75,11.7727,42.2955,34.7045,9.56818,26.0,6.95455,11.2045,5.15909,10.6818,10.3636,7.090910000000001,103.59100000000001
chr19:13048309-13048310,41.75,349.5,3.75,14.25,6.5,4.75,17.5,210.25,4.0,25.25,29.75,3.5,14.75,12.5,14.0,13.5,2.5,56.0
chr19:13048340-13048341,41.75,349.5,3.75,14.25,6.5,4.75,17.5,210.25,4.0,25.25,29.75,3.5,14.75,12.5,14.0,13.5,2.5,56.0
chr19:13048813-13048814,37.5,2316.25,9.75,29.0,170.5,5.25,34.5,243.75,3.0,86.75,137.25,7.0,25.0,10.25,39.5,26.25,2.0,116.5
chr19:13048818-13048819,37.5,2316.25,9.75,29.0,170.5,5.25,34.5,243.75,3.0,86.75,137.25,7.0,25.0,10.25,39.5,26.25,2.0,116.5
chr19:13048872-13048873,36.25,2494.5,8.5,31.75,201.75,6.25,38.5,228.25,3.0,100.0,170.0,7.5,28.0,11.75,35.75,26.5,2.5,122.5
chr19:13048929-13048930,30.75,2375.75,8.75,33.75,233.75,6.0,40.5,228.0,2.75,111.75,208.0,7.0,33.5,13.0,32.0,24.5,4.25,128.0
chr19:13048932-13048933,30.75,2375.75,8.75,33.75,233.75,6.0,40.5,228.0,2.75,111.75,208.0,7.0,33.5,13.0,32.0,24.5,4.25,128.0
chr19:13049140-13049141,26.5,1844.25,3.25,33.0,267.0,2.75,32.0,207.0,0.25,86.5,343.75,2.25,31.5,10.75,41.75,13.0,6.75,113.25
chr19:13049213-13049214,24.75,2316.5,0.0,42.0,382.25,3.0,28.75,197.25,1.25,72.5,330.5,3.5,26.5,7.25,41.25,8.25,4.25,101.25
chr19:13049216-13049217,24.75,2316.5,0.0,42.0,382.25,3.0,28.75,197.25,1.25,72.5,330.5,3.5,26.5,7.25,41.25,8.25,4.25,101.25
chr19:13049220-13049221,24.75,2316.5,0.0,42.0,382.25,3.0,28.75,197.25,1.25,72.5,330.5,3.5,26.5,7.25,41.25,8.25,4.25,101.25
chr19:13049237-13049238,24.75,2316.5,0.0,42.0,382.25,3.0,28.75,197.25,1.25,72.5,330.5,3.5,26.5,7.25,41.25,8.25,4.25,101.25
chr19:13049256-13049257,26.25,2529.0,0.0,47.25,416.0,2.75,26.5,195.0,1.5,62.0,302.25,3.5,26.75,6.75,37.75,10.25,5.75,106.25
chr19:13049276-13049277,26.25,2529.0,0.0,47.25,416.0,2.75,26.5,195.0,1.5,62.0,302.25,3.5,26.75,6.75,37.75,10.25,5.75,106.25
chr19:13049280-13049281,26.25,2529.0,0.0,47.25,416.0,2.75,26.5,195.0,1.5,62.0,302.25,3.5,26.75,6.75,37.75,10.25,5.75,106.25
chr19:13049290-13049291,26.25,2529.0,0.0,47.25,416.0,2.75,26.5,195.0,1.5,62.0,302.25,3.5,26.75,6.75,37.75,10.25,5.75,106.25
chr19:13049340-13049341,30.0,2541.25,0.25,49.0,396.0,3.0,23.75,189.0,2.0,52.25,274.0,3.25,28.0,7.75,31.25,13.75,6.75,121.25
chr19:13049676-13049677,39.5,226.0,830.75,62.5,12.0,0.25,14.25,92.0,946.5,22.25,74.0,4.25,24.75,3.25,17.5,22.0,18.25,196.5
chr19:13049686-13049687,39.5,226.0,830.75,62.5,12.0,0.25,14.25,92.0,946.5,22.25,74.0,4.25,24.75,3.25,17.5,22.0,18.25,196.5
chr19:13049700-13049701,37.3182,237.864,423.977,66.8636,10.5,0.659091,14.1136,89.8182,497.455,21.1591,68.1364,5.47727,23.9318,4.47727,19.1364,23.3636,17.7045,197.18200000000002
chr19:13049744-13049745,35.5,247.75,85.0,70.5,9.25,1.0,14.0,88.0,123.25,20.25,63.25,6.5,23.25,5.5,20.5,24.5,17.25,197.75
chr19:13049779-13049780,33.25,278.5,92.25,71.25,7.75,1.75,13.5,80.75,132.25,20.75,55.5,7.25,23.5,7.75,20.5,21.5,16.5,188.75
chr19:13051579-13051580,9.25,121.75,7247.25,4.5,2.25,3.0,26.0,18.25,7343.75,22.25,13.25,0.75,8.25,6.0,3.25,6.5,26.5,17.0
chr19:13051594-13051595,9.25,121.75,7247.25,4.5,2.25,3.0,26.0,18.25,7343.75,22.25,13.25,0.75,8.25,6.0,3.25,6.5,26.5,17.0
chr19:13051596-13051597,9.06818,119.795,7276.3,4.68182,2.25,3.09091,26.4091,17.7955,7384.57,22.2045,13.2955,0.75,8.29545,6.13636,3.25,6.636360000000001,25.9545,16.4545
chr19:13051597-13051598,8.977269999999999,118.818,7290.82,4.77273,2.25,3.13636,26.6136,17.5682,7404.98,22.1818,13.3182,0.75,8.31818,6.20455,3.25,6.70455,25.6818,16.1818
chr19:13051671-13051672,8.0,84.0,8935.25,7.5,2.25,2.75,27.0,15.0,9183.75,19.5,13.0,1.25,9.0,7.75,3.5,7.0,24.25,13.0
chr19:13051672-13051673,8.0,84.0,8935.25,7.5,2.25,2.75,27.0,15.0,9183.75,19.5,13.0,1.25,9.0,7.75,3.5,7.0,24.25,13.0
chr19:13051681-13051682,8.0,84.0,8935.25,7.5,2.25,2.75,27.0,15.0,9183.75,19.5,13.0,1.25,9.0,7.75,3.5,7.0,24.25,13.0
chr19:13056578-13056579,57.25,1145.75,0.5,49.5,112.25,2.0,48.75,125.0,2.5,154.5,311.75,5.5,23.0,9.75,22.5,20.25,8.25,106.0
chr19:13056602-13056603,64.7045,1224.3,26.6818,48.4091,127.34100000000001,2.72727,44.9318,138.273,49.5909,144.864,302.295,5.86364,24.6364,10.1136,26.3182,22.7955,8.977269999999999,124.727
chr19:13057037-13057038,117.25,699.75,16.5,29.25,11.0,3.75,17.75,186.0,23.5,31.25,106.0,2.75,34.75,4.75,24.25,45.25,14.75,234.5
